GISJOIN,higher_level,med_inc,ba_prop,pov_prop
G0900090170900,New Haven County,39063,0.14050179211469535,0.24085064292779426
G0900090171000,New Haven County,32513,0.12441093308199812,0.2669717772692601
G0900090171100,New Haven County,65521,0.2002212389380531,0.07660526768807023
G0900090171200,New Haven County,89438,0.32133333333333336,0.054187772411355875
G0900090171300,New Haven County,65658,0.16220238095238096,0.12177121771217712
G0900090171400,New Haven County,45503,0.17066895368782162,0.14787798408488065
G0900090171500,New Haven County,45953,0.1573389651531151,0.15988945913936045
G0900090171600,New Haven County,62691,0.13612701717855283,0.05004084967320262
G0900090171700,New Haven County,84428,0.3254528707399447,0.041029376062151006
G0900090175100,New Haven County,62950,0.26786516853932585,0.03762903762903763
G0900090175200,New Haven County,57734,0.3335483870967742,0.1623459413514662
